# time*2*pi	ke	dkedt	ke smag	dkedt smag
11.86	0.053961225	0.008261191	0.053240013	0.008150794
11.88	0.053797027	0.008209897	0.053078184	0.008091433
11.9	0.053633746	0.008164082	0.052917421	0.008038123
11.92	0.053471755	0.008099547	0.052757937	0.007974238
11.94	0.053310898	0.008042838	0.052599856	0.007904014
11.96	0.053151259	0.007981971	0.052443125	0.007836577
11.98	0.052992956	0.00791514	0.052287668	0.00777286
12	0.052835916	0.007852008	0.052133461	0.007710317
12.02	0.052680158	0.00778788	0.051980428	0.007651679
12.04	0.052525553	0.007730228	0.051828473	0.007597726
12.06	0.052372047	0.007675306	0.051677521	0.007547597
12.08	0.052219699	0.007617407	0.051527576	0.007497276
12.1	0.052068446	0.007562644	0.051378608	0.007448373
12.12	0.051918376	0.007503491	0.051230692	0.007395823
12.14	0.05176927	0.007455313	0.051083856	0.007341786
12.16	0.051621016	0.007412709	0.05093807	0.007289311
12.18	0.051473673	0.007367144	0.050793271	0.007239966
12.2	0.051327192	0.007324067	0.05064953	0.007187041
12.22	0.051181513	0.007283942	0.050506924	0.007130265
12.24	0.051036636	0.007243861	0.050365486	0.007071938
12.26	0.050892661	0.007198718	0.050225068	0.007020897
12.28	0.05074954	0.007156071	0.050085536	0.006976586
12.3	0.050607166	0.007118706	0.049946888	0.006932391
12.32	0.050465539	0.007081318	0.049809101	0.006889338
12.34	0.05032471	0.007041459	0.049672198	0.006845154
12.36	0.050184704	0.007000307	0.049536149	0.00680248
12.38	0.050045624	0.006954019	0.049400868	0.006764052
12.4	0.049907484	0.006906979	0.049266428	0.006721975
12.42	0.049770226	0.006862924	0.049132892	0.006676812
12.44	0.049633877	0.006817424	0.049000232	0.006633013
12.46	0.049498393	0.006774229	0.048868362	0.006593507
12.48	0.049363707	0.006734304	0.048737321	0.006552039
12.5	0.049229727	0.006698977	0.048607058	0.006513124
12.52	0.049096346	0.00666906	0.048477661	0.006469879
12.54	0.048963663	0.006634139	0.048349109	0.006427587
12.56	0.04883172	0.00659713	0.048221328	0.006389058
12.58	0.048700602	0.006555933	0.048094255	0.00635365
12.6	0.048570233	0.006518415	0.047967904	0.006317559
